
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Rename for multiple files same name ,  , .79 , Repair#_2Extension is- .jpg , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Upload ,  , .79 , Repair#_2 , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Rename for multiple files same name ,  , .79 , Repair#_2Replaced Image name - Repair#_2018_12_31_19_55_0_508570.jpg , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Upload ,  , .79 , Repair#_2 , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Rename for multiple files same name ,  , .79 , Repair#_2Extension is- .jpg , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Rename for multiple files same name ,  , .79 , Repair#_2Replaced Image name - Repair#_2018_12_31_19_55_0_302212.jpg , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Upload ,  , .79 , Repair#_2 , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Upload ,  , .79 , Repair#_2 , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Resize Success ,  , .79 , ImageName : ..\TempImages\Resized\880c9689-0d43-45e4-be42-657ed9852b0c\Repair#_2018_12_31_19_55_0_508570.jpg , 100021 , 21878, null
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Image Resize Success ,  , .79 , ImageName : ..\TempImages\Resized\880c9689-0d43-45e4-be42-657ed9852b0c\Repair#_2018_12_31_19_55_0_302212.jpg , 100021 , 21878, null
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , Vendor Folder Found :)  ,  , .79 ,   , 100021 , 21878, SUCCESS
Mon Dec 31 2018 19:55:03 GMT+0530 (India Standard Time) , SKU Folder found :)  ,  , .79 ,   , 100021 , 21878, SUCCESS
